11113,266,1,0,0
11116,269,0,1,1
11120,289,1,1,0
11113,259,1,0,0
11113,259,0,0,0
11120,227,0,1,1
11115,279,0,0,1
11120,249,0,1,1
11117,287,1,1,0
11117,257,1,1,0
11116,269,1,1,1
11119,273,0,0,0
11119,279,1,0,0
11118,282,1,1,0
11116,296,0,0,1
11120,267,0,1,1
11116,265,0,1,1
11111,243,0,1,1
11114,234,0,1,1
11111,248,0,1,0
11118,261,1,0,0
11117,281,1,0,1
11114,234,1,1,1
11120,247,1,0,1
11112,300,0,1,0
11119,222,0,0,1
11111,289,0,0,1
11114,252,0,1,1
11115,291,0,0,0
11114,220,0,0,0
11115,249,0,1,1
11119,221,0,0,0
11117,253,0,0,1
11115,294,1,1,0
11117,256,1,0,1
11117,269,1,1,1
11111,237,0,0,1
11117,252,1,1,1
11115,233,1,0,1
11114,242,1,0,0
11117,294,1,1,0
11113,278,1,1,0
11120,298,1,0,0
11120,282,1,0,1
11117,247,0,1,1
11114,289,0,0,0
11111,234,1,1,1
11113,274,1,1,0
11116,240,1,1,1
11119,233,1,1,0
11115,285,0,1,0
11116,276,0,1,0
11120,257,1,1,1
11119,221,1,1,0
11113,287,1,1,1
11115,264,0,1,1
11115,287,1,1,0
11111,239,1,1,0
11119,261,0,1,0
11115,239,1,1,0
11111,291,1,0,0
11114,289,1,1,0
11120,243,0,0,0
11114,225,1,1,1
11111,262,0,0,1
11111,235,0,0,1
11115,294,1,0,1
11111,290,1,0,1
11118,224,1,0,0
11113,275,0,0,1
11120,283,0,0,1
11120,275,1,1,1
11111,240,1,0,0
11111,230,0,1,1
11115,221,0,0,1
11116,261,1,1,0
11112,252,0,1,1
11117,291,0,0,0
11116,262,1,0,1
11112,270,1,1,0
11113,240,1,1,1
11112,261,0,1,1
11119,250,1,0,1
11116,228,0,1,1
11120,256,1,1,1
11120,265,0,0,1
11118,243,0,0,0
11113,220,1,1,0
11119,262,1,0,1
11113,223,1,1,1
11113,241,0,1,1
11113,245,0,0,0
11115,262,0,1,1
11114,296,1,1,1
11115,249,0,1,0
11112,275,1,1,0
11118,242,0,0,1
11115,293,0,0,0
11116,300,0,0,1
11116,279,0,1,0
11117,270,0,0,0
11112,292,0,0,0
11120,224,0,1,0
11118,225,1,1,1
11118,294,0,0,0
11118,289,1,1,1
11112,254,1,1,1
11115,289,0,1,0
11115,270,1,1,0
11111,220,0,0,0
11120,231,0,0,1
11111,230,0,1,0
11114,294,1,0,0
11120,245,1,1,0
11112,259,1,1,1
11117,258,0,0,0
11119,278,0,1,1
11111,222,1,0,1
11112,251,1,1,0
11114,222,1,0,1
11113,276,1,1,0
11118,279,1,1,0
11115,245,1,1,1
11116,233,1,0,0
11119,297,0,0,1
11115,266,1,1,1
11114,227,1,1,1
11119,231,0,0,0
11115,221,0,1,1
11118,270,0,1,0
11113,234,0,1,0
11115,251,1,0,0
11120,221,1,1,1
11111,299,1,1,0
11115,285,1,1,0
11111,234,1,1,1
11119,300,0,1,0
11116,281,0,1,0
11112,236,1,0,1
11118,288,1,1,1
11113,270,1,1,1
11111,230,0,1,0
11120,288,1,0,1
11114,220,0,1,1
11117,224,0,0,0
11111,240,1,1,0
11119,278,1,1,1
11112,235,0,0,1
11119,281,0,0,1
11113,259,0,0,1
11119,269,0,1,1
11111,272,0,1,1
11114,247,1,0,0
11116,280,0,0,0
11119,250,0,1,1
11120,261,0,1,0
11118,248,0,1,1
11117,281,0,1,0
11120,238,0,0,0
11114,297,1,1,1
11112,284,1,1,1
11115,251,1,0,0
11114,224,1,1,0
11114,299,0,0,1
11117,274,0,1,1
11111,226,1,1,0
11112,249,0,0,1
11113,247,1,1,1
11117,283,0,0,0
11118,228,0,0,1
11118,237,0,1,0
11115,269,0,1,1
11118,265,1,1,0
11118,257,1,0,1
11117,254,0,1,0
11119,265,1,1,0
11115,228,0,0,1
11120,281,1,1,1
11117,235,1,1,1
11116,255,1,0,0
11112,272,0,1,0
11116,235,1,0,1
11120,289,0,0,0
11114,241,1,1,0
11120,230,1,0,0
11115,236,0,1,1
11117,257,1,1,1
11115,262,0,0,0
11117,243,1,0,1
11111,259,0,1,1
11117,263,0,1,1
11118,252,1,0,1
11113,259,0,1,1
11118,239,1,1,0
11113,266,0,1,1
11112,236,0,0,1
11112,234,1,1,0
11118,230,0,1,0
11118,251,0,0,0
11118,294,0,1,1
11112,254,0,1,0
11116,268,0,0,0
11112,275,0,0,1
11115,235,1,1,0
11113,249,0,1,0
11114,299,0,0,0
11116,234,0,1,0
11111,265,0,0,0
11120,241,0,0,1
11117,229,0,1,0
11115,273,1,1,1
11113,278,1,0,1
11117,245,1,1,1
11119,296,1,1,1
11119,261,1,1,0
11115,260,0,0,1
11119,260,0,0,1
11113,275,0,1,1
11115,244,0,1,1
11116,275,0,0,0
11112,233,1,1,0
11117,246,1,1,0
11111,299,0,1,0
11117,237,0,0,0
11114,268,1,1,0
11113,282,1,0,1
11118,277,1,0,1
11118,288,1,0,1
11114,267,1,1,0
11112,281,1,0,1
11119,235,0,1,0
11111,248,1,1,1
11112,239,0,0,0
11112,274,1,1,0
11117,239,0,1,0
11114,251,0,0,0
11120,264,1,1,0
11115,271,0,1,0
11120,231,1,1,0
11111,261,1,0,1
11111,223,1,0,1
11119,274,1,0,1
11113,276,1,1,0
11119,275,1,0,0
11114,224,1,0,1
11113,230,1,0,0
11112,221,1,0,1
11119,299,1,1,0
11116,229,0,1,1
11114,271,1,1,0
11112,235,0,0,1
11112,237,0,0,1
11116,221,0,0,0
11118,268,0,0,1
11112,242,1,1,1
11119,221,1,1,0
11114,238,1,1,0
11115,297,1,0,1
11116,242,0,1,0
11120,271,1,0,0
11114,242,1,1,1
11115,224,0,0,1
11119,235,0,1,1
11113,294,1,0,1
11118,247,1,0,0
11115,253,0,1,1
11120,220,0,1,1
11119,227,1,0,0
11118,271,0,0,0
11111,276,0,1,1
11113,269,0,0,1
11116,289,1,1,1
11120,241,0,1,0
11118,298,1,0,0
11113,231,1,1,0
11118,292,0,0,0
11117,223,0,0,0
11117,241,1,1,1
11120,284,1,1,0
11117,233,0,0,0
11113,289,1,0,1
11114,284,0,0,1
11117,220,0,0,0
11113,250,0,1,0
11118,276,1,1,0
11113,288,1,1,0
11111,233,1,0,1
11118,239,1,1,1
11118,238,1,0,1
11117,268,1,0,1
11114,233,1,1,0
11114,273,1,1,0
11111,271,1,1,0
11118,244,1,1,0
11113,242,0,0,0
11113,278,1,1,1
11118,225,0,1,0
11111,258,0,0,1
11115,276,0,0,0
11116,222,1,0,0
11111,230,0,0,1
11115,284,1,1,1
11111,271,0,0,1
11119,256,0,0,1
11115,272,0,0,1
11116,256,1,0,0
11115,223,1,1,1
11115,257,0,1,0
11112,243,0,0,0
11113,255,1,0,0
11114,290,1,1,1
11113,267,0,0,1
11118,250,1,1,1
11117,244,0,0,0
11112,276,0,1,1
11115,254,1,0,0
11114,249,1,1,0
11120,260,0,0,1
11117,277,0,1,1
11113,299,1,1,0
11119,277,1,1,1
11111,300,0,1,1
11119,236,1,1,1
11119,252,0,1,0
11113,257,1,1,1
11116,263,0,1,1
11120,236,1,0,0
11111,287,1,0,1
11120,280,0,1,0
11113,225,0,1,1
11116,231,0,0,1
11115,232,0,0,0
11117,243,0,0,1
