250,	11120
250,	11119
250,	11113
250,	11117
250,	11111
251,	11118
251,	11118
251,	11119
252,	11113
252,	11111
252,	11111
252,	11111
253,	11112
253,	11120
253,	11120
253,	11115
253,	11117
253,	11114
253,	11119
253,	11112
253,	11115
254,	11114
254,	11114
254,	11119
254,	11118
254,	11114
255,	11119
255,	11112
255,	11117
255,	11113
255,	11116
255,	11111
255,	11117
255,	11116
255,	11117
255,	11116
255,	11117
255,	11113
256,	11111
256,	11112
256,	11113
256,	11118
257,	11120
257,	11116
257,	11115
257,	11115
257,	11120
257,	11112
257,	11117
257,	11120
257,	11113
257,	11119
258,	11116
258,	11111
258,	11112
258,	11112
259,	11119
259,	11115
259,	11119
259,	11114
259,	11112
259,	11117
260,	11116
260,	11111
260,	11114
260,	11117
260,	11113
260,	11117
260,	11111
260,	11113
260,	11118
261,	11118
261,	11112
261,	11112
261,	11120
261,	11114
262,	11112
262,	11120
263,	11119
263,	11114
263,	11113
264,	11120
264,	11120
264,	11111
264,	11117
264,	11114
264,	11118
265,	11119
265,	11114
265,	11115
265,	11113
265,	11113
265,	11116
265,	11111
265,	11118
266,	11112
266,	11115
266,	11115
266,	11114
266,	11114
266,	11111
266,	11120
266,	11113
266,	11118
266,	11112
267,	11111
267,	11115
267,	11113
267,	11115
268,	11114
268,	11119
268,	11118
268,	11120
268,	11118
268,	11120
268,	11119
268,	11119
268,	11118
269,	11118
269,	11118
269,	11114
269,	11119
269,	11112
269,	11114
269,	11115
269,	11120
270,	11114
270,	11116
270,	11117
270,	11118
270,	11118
270,	11119
271,	11115
271,	11115
271,	11113
271,	11118
271,	11111
272,	11115
272,	11117
272,	11119
272,	11114
272,	11115
272,	11115
272,	11111
272,	11114
273,	11119
273,	11117
273,	11119
273,	11114
273,	11112
273,	11111
273,	11114
274,	11118
274,	11115
274,	11120
274,	11120
274,	11115
274,	11115
275,	11113
275,	11115
275,	11113
275,	11115
275,	11118
275,	11119
275,	11113
275,	11117
275,	11111
276,	11111
276,	11117
276,	11116
276,	11119
276,	11120
276,	11115
276,	11115
277,	11118
277,	11117
277,	11112
277,	11115
278,	11117
278,	11118
278,	11114
278,	11115
278,	11120
279,	11115
279,	11114
279,	11117
279,	11115
279,	11113
279,	11117
279,	11117
280,	11111
280,	11113
280,	11113
280,	11119
280,	11117
280,	11113
280,	11120
280,	11114
281,	11117
281,	11115
281,	11113
281,	11111
281,	11118
282,	11117
282,	11112
282,	11116
282,	11116
282,	11118
282,	11117
282,	11120
283,	11113
283,	11117
283,	11119
283,	11116
284,	11111
284,	11118
284,	11119
284,	11111
284,	11116
284,	11120
284,	11120
285,	11112
285,	11116
285,	11118
285,	11113
285,	11119
285,	11115
285,	11117
285,	11113
285,	11120
286,	11118
286,	11114
286,	11116
287,	11117
287,	11114
287,	11120
287,	11115
287,	11115
288,	11111
288,	11113
288,	11119
288,	11120
288,	11115
288,	11115
288,	11116
288,	11113
288,	11116
288,	11114
288,	11120
289,	11111
289,	11113
289,	11111
289,	11115
289,	11112
289,	11111
289,	11118
289,	11118
289,	11116
290,	11112
290,	11112
290,	11113
290,	11117
290,	11112
290,	11119
290,	11120
290,	11114
291,	11115
291,	11119
291,	11119
291,	11112
292,	11118
292,	11114
292,	11116
292,	11111
292,	11120
292,	11116
292,	11115
292,	11117
292,	11118
292,	11119
292,	11116
292,	11112
293,	11111
293,	11115
293,	11111
293,	11118
293,	11112
293,	11111
294,	11113
294,	11114
294,	11113
294,	11116
294,	11117
294,	11113
294,	11113
295,	11116
295,	11117
295,	11118
295,	11116
295,	11114
295,	11115
295,	11115
295,	11111
296,	11112
296,	11111
296,	11112
296,	11111
297,	11112
297,	11115
297,	11116
297,	11118
297,	11120
298,	11120
298,	11119
298,	11120
298,	11113
298,	11120
298,	11116
298,	11118
298,	11117
298,	11119
298,	11120
299,	11113
299,	11111
299,	11116
299,	11115
299,	11113
299,	11114
300,	11117
300,	11111
300,	11119
300,	11113
300,	11113
